Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.025658e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517489e+23	9.517489e+23	4.885525e+10	0	7.312511e+23	0.4344926	0	2.08e+20	7.590749e-14	3.81071e-19	0	2.328887e+26	2.276476e+28	
0.00037	1600	0	0	5.025661e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.51747e+23	9.51747e+23	4.885515e+10	0	7.31253e+23	0.4344938	1.433463e+18	2.08e+20	7.590749e-14	3.81071e-19	0	2.328887e+26	2.276476e+28	
0.00074	1600	0	0	5.025665e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517451e+23	9.517451e+23	4.885506e+10	0	7.312549e+23	0.4344949	1.433456e+18	2.08e+20	7.590744e-14	3.810702e-19	0	2.328887e+26	2.276476e+28	
0.00111	1600	0	0	5.025668e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517432e+23	9.517432e+23	4.885496e+10	0	7.312568e+23	0.434496	1.43345e+18	2.08e+20	7.590739e-14	3.810694e-19	0	2.328887e+26	2.276476e+28	
0.00148	1600	0	0	5.025671e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517413e+23	9.517413e+23	4.885486e+10	0	7.312587e+23	0.4344972	1.433443e+18	2.08e+20	7.590734e-14	3.810687e-19	0	2.328887e+26	2.276476e+28	
0.00185	1600	0	0	5.025675e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517394e+23	9.517394e+23	4.885476e+10	0	7.312606e+23	0.4344983	1.433436e+18	2.08e+20	7.590729e-14	3.810679e-19	0	2.328887e+26	2.276476e+28	
0.00222	1600	0	0	5.025678e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517375e+23	9.517375e+23	4.885466e+10	0	7.312625e+23	0.4344994	1.433429e+18	2.08e+20	7.590724e-14	3.810672e-19	0	2.328887e+26	2.276476e+28	
0.00259	1600	0	0	5.025682e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517356e+23	9.517356e+23	4.885457e+10	0	7.312644e+23	0.4345006	1.433423e+18	2.08e+20	7.590719e-14	3.810664e-19	0	2.328887e+26	2.276476e+28	
0.00296	1600	0	0	5.025685e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517337e+23	9.517337e+23	4.885447e+10	0	7.312663e+23	0.4345017	1.433416e+18	2.08e+20	7.590714e-14	3.810656e-19	0	2.328887e+26	2.276476e+28	
0.00333	1600	0	0	5.025688e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.517317e+23	9.517317e+23	4.885437e+10	0	7.312683e+23	0.4345028	1.433409e+18	2.08e+20	7.590709e-14	3.810649e-19	0	2.328887e+26	2.276476e+28	
