Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.000767e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291537e+24	1.227843e+24	6.369436e+22	0	3.914629e+23	0.2325983	0	2.08e+20	8.292418e-10	4.96816e-07	0	2.328887e+26	2.276476e+28	
0.00036	1600	0	0	5.00077e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291535e+24	1.22784e+24	6.369423e+22	0	3.914654e+23	0.2325998	1.984249e+18	2.08e+20	8.292418e-10	4.96816e-07	0	2.328887e+26	2.276476e+28	
0.00072	1600	0	0	5.000774e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291532e+24	1.227838e+24	6.36941e+22	0	3.91468e+23	0.2326013	1.98424e+18	2.08e+20	8.292413e-10	4.96815e-07	0	2.328887e+26	2.276476e+28	
0.00108	1600	0	0	5.000777e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291529e+24	1.227835e+24	6.369397e+22	0	3.914706e+23	0.2326028	1.984231e+18	2.08e+20	8.292407e-10	4.96814e-07	0	2.328887e+26	2.276476e+28	
0.00144	1600	0	0	5.00078e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291527e+24	1.227833e+24	6.369385e+22	0	3.914731e+23	0.2326044	1.984222e+18	2.08e+20	8.292402e-10	4.96813e-07	0	2.328887e+26	2.276476e+28	
0.0018	1600	0	0	5.000784e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291524e+24	1.227831e+24	6.369372e+22	0	3.914757e+23	0.2326059	1.984212e+18	2.08e+20	8.292396e-10	4.96812e-07	0	2.328887e+26	2.276476e+28	
0.00216	1600	0	0	5.000787e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291522e+24	1.227828e+24	6.369359e+22	0	3.914783e+23	0.2326074	1.984203e+18	2.08e+20	8.292391e-10	4.96811e-07	0	2.328887e+26	2.276476e+28	
0.00252	1600	0	0	5.00079e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291519e+24	1.227826e+24	6.369347e+22	0	3.914809e+23	0.2326089	1.984194e+18	2.08e+20	8.292385e-10	4.9681e-07	0	2.328887e+26	2.276476e+28	
0.00288	1600	0	0	5.000794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291517e+24	1.227823e+24	6.369334e+22	0	3.914834e+23	0.2326105	1.984185e+18	2.08e+20	8.29238e-10	4.96809e-07	0	2.328887e+26	2.276476e+28	
0.00324	1600	0	0	5.000797e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.291514e+24	1.227821e+24	6.369321e+22	0	3.91486e+23	0.232612	1.984176e+18	2.08e+20	8.292374e-10	4.968081e-07	0	2.328887e+26	2.276476e+28	
