Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.020709e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859683e+23	9.859683e+23	5.408974e+10	0	6.970317e+23	0.4141603	0	2.08e+20	7.852703e-14	4.219e-19	0	2.328887e+26	2.276476e+28	
0.00037	1600	0	0	5.020712e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859663e+23	9.859663e+23	5.408964e+10	0	6.970337e+23	0.4141614	1.490866e+18	2.08e+20	7.852703e-14	4.219e-19	0	2.328887e+26	2.276476e+28	
0.00074	1600	0	0	5.020716e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859643e+23	9.859643e+23	5.408953e+10	0	6.970357e+23	0.4141626	1.490859e+18	2.08e+20	7.852698e-14	4.218992e-19	0	2.328887e+26	2.276476e+28	
0.00111	1600	0	0	5.020719e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859623e+23	9.859623e+23	5.408942e+10	0	6.970377e+23	0.4141638	1.490852e+18	2.08e+20	7.852693e-14	4.218983e-19	0	2.328887e+26	2.276476e+28	
0.00148	1600	0	0	5.020722e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859603e+23	9.859603e+23	5.408931e+10	0	6.970397e+23	0.414165	1.490845e+18	2.08e+20	7.852688e-14	4.218975e-19	0	2.328887e+26	2.276476e+28	
0.00185	1600	0	0	5.020726e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859584e+23	9.859584e+23	5.40892e+10	0	6.970416e+23	0.4141662	1.490838e+18	2.08e+20	7.852682e-14	4.218966e-19	0	2.328887e+26	2.276476e+28	
0.00222	1600	0	0	5.020729e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859564e+23	9.859564e+23	5.408909e+10	0	6.970436e+23	0.4141673	1.490831e+18	2.08e+20	7.852677e-14	4.218958e-19	0	2.328887e+26	2.276476e+28	
0.00259	1600	0	0	5.020733e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859544e+23	9.859544e+23	5.408898e+10	0	6.970456e+23	0.4141685	1.490824e+18	2.08e+20	7.852672e-14	4.218949e-19	0	2.328887e+26	2.276476e+28	
0.00296	1600	0	0	5.020736e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859524e+23	9.859524e+23	5.408887e+10	0	6.970476e+23	0.4141697	1.490817e+18	2.08e+20	7.852667e-14	4.218941e-19	0	2.328887e+26	2.276476e+28	
0.00333	1600	0	0	5.020739e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859504e+23	9.859504e+23	5.408876e+10	0	6.970496e+23	0.4141709	1.49081e+18	2.08e+20	7.852661e-14	4.218932e-19	0	2.328887e+26	2.276476e+28	
0.0037	1600	0	0	5.020743e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859484e+23	9.859484e+23	5.408865e+10	0	6.970516e+23	0.4141721	1.490803e+18	2.08e+20	7.852656e-14	4.218924e-19	0	2.328887e+26	2.276476e+28	
0.00407	1600	0	0	5.020746e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859464e+23	9.859464e+23	5.408855e+10	0	6.970536e+23	0.4141732	1.490796e+18	2.08e+20	7.852651e-14	4.218915e-19	0	2.328887e+26	2.276476e+28	
0.00444	1600	0	0	5.020749e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859445e+23	9.859445e+23	5.408844e+10	0	6.970555e+23	0.4141744	1.490789e+18	2.08e+20	7.852645e-14	4.218907e-19	0	2.328887e+26	2.276476e+28	
0.00481	1600	0	0	5.020753e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859425e+23	9.859425e+23	5.408833e+10	0	6.970575e+23	0.4141756	1.490782e+18	2.08e+20	7.85264e-14	4.218898e-19	0	2.328887e+26	2.276476e+28	
0.00518	1600	0	0	5.020756e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859405e+23	9.859405e+23	5.408822e+10	0	6.970595e+23	0.4141768	1.490775e+18	2.08e+20	7.852635e-14	4.21889e-19	0	2.328887e+26	2.276476e+28	
0.00555	1600	0	0	5.02076e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859385e+23	9.859385e+23	5.408811e+10	0	6.970615e+23	0.414178	1.490768e+18	2.08e+20	7.85263e-14	4.218881e-19	0	2.328887e+26	2.276476e+28	
0.00592	1600	0	0	5.020763e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859365e+23	9.859365e+23	5.4088e+10	0	6.970635e+23	0.4141791	1.490761e+18	2.08e+20	7.852624e-14	4.218873e-19	0	2.328887e+26	2.276476e+28	
0.00629	1600	0	0	5.020766e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859345e+23	9.859345e+23	5.408789e+10	0	6.970655e+23	0.4141803	1.490754e+18	2.08e+20	7.852619e-14	4.218864e-19	0	2.328887e+26	2.276476e+28	
0.00666	1600	0	0	5.02077e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859325e+23	9.859325e+23	5.408778e+10	0	6.970675e+23	0.4141815	1.490747e+18	2.08e+20	7.852614e-14	4.218856e-19	0	2.328887e+26	2.276476e+28	
0.00703	1600	0	0	5.020773e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859306e+23	9.859306e+23	5.408767e+10	0	6.970694e+23	0.4141827	1.49074e+18	2.08e+20	7.852609e-14	4.218847e-19	0	2.328887e+26	2.276476e+28	
0.0074	1600	0	0	5.020776e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859286e+23	9.859286e+23	5.408757e+10	0	6.970714e+23	0.4141839	1.490733e+18	2.08e+20	7.852603e-14	4.218839e-19	0	2.328887e+26	2.276476e+28	
0.00777	1600	0	0	5.02078e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859266e+23	9.859266e+23	5.408746e+10	0	6.970734e+23	0.414185	1.490726e+18	2.08e+20	7.852598e-14	4.21883e-19	0	2.328887e+26	2.276476e+28	
0.00814	1600	0	0	5.020783e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859246e+23	9.859246e+23	5.408735e+10	0	6.970754e+23	0.4141862	1.490719e+18	2.08e+20	7.852593e-14	4.218822e-19	0	2.328887e+26	2.276476e+28	
0.00851	1600	0	0	5.020787e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859226e+23	9.859226e+23	5.408724e+10	0	6.970774e+23	0.4141874	1.490712e+18	2.08e+20	7.852587e-14	4.218813e-19	0	2.328887e+26	2.276476e+28	
0.00888	1600	0	0	5.02079e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859206e+23	9.859206e+23	5.408713e+10	0	6.970794e+23	0.4141886	1.490705e+18	2.08e+20	7.852582e-14	4.218805e-19	0	2.328887e+26	2.276476e+28	
0.00925	1600	0	0	5.020793e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.859187e+23	9.859187e+23	5.408702e+10	0	6.970813e+23	0.4141898	1.490698e+18	2.08e+20	7.852577e-14	4.218796e-19	0	2.328887e+26	2.276476e+28	
