Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.005774e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.154734e+24	1.154734e+24	7.636989e+10	0	5.282656e+23	0.3138833	0	2.08e+20	8.809575e-14	5.956851e-19	0	2.328887e+26	2.276476e+28	
0.00036	1600	0	0	5.005777e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.153185e+24	1.153185e+24	7.967718e+10	0	5.298147e+23	0.3148038	1.195331e+21	2.08e+20	8.809575e-14	5.956851e-19	0	2.328887e+26	2.276476e+28	
0.00072	1600	0	0	5.005781e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.15168e+24	1.15168e+24	7.957321e+10	0	5.313195e+23	0.3156979	1.161087e+21	2.08e+20	8.934951e-14	6.21482e-19	0	2.328887e+26	2.276476e+28	
0.00108	1600	0	0	5.005784e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.150218e+24	1.150218e+24	8.175245e+10	0	5.327822e+23	0.3165669	1.128577e+21	2.08e+20	8.931063e-14	6.20671e-19	0	2.328887e+26	2.276476e+28	
0.00144	1600	0	0	5.005787e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.148795e+24	1.148795e+24	8.158022e+10	0	5.342048e+23	0.3174122	1.097697e+21	2.08e+20	9.011861e-14	6.376691e-19	0	2.328887e+26	2.276476e+28	
0.0018	1600	0	0	5.005791e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.147411e+24	1.147411e+24	8.296425e+10	0	5.355893e+23	0.3182349	1.068349e+21	2.08e+20	9.005528e-14	6.363257e-19	0	2.328887e+26	2.276476e+28	
0.00216	1600	0	0	5.005794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.146062e+24	1.146062e+24	8.275022e+10	0	5.369378e+23	0.3190361	1.040442e+21	2.08e+20	9.05617e-14	6.471212e-19	0	2.328887e+26	2.276476e+28	
0.00252	1600	0	0	5.005797e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.144748e+24	1.144748e+24	8.358845e+10	0	5.382518e+23	0.3198169	1.013891e+21	2.08e+20	9.048375e-14	6.454517e-19	0	2.328887e+26	2.276476e+28	
0.00288	1600	0	0	5.0058e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.143467e+24	1.143467e+24	8.33511e+10	0	5.39533e+23	0.3205781	9.886162e+20	2.08e+20	9.078825e-14	6.519899e-19	0	2.328887e+26	2.276476e+28	
0.00324	1600	0	0	5.005804e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.142217e+24	1.142217e+24	8.382182e+10	0	5.407831e+23	0.3213209	9.645429e+20	2.08e+20	9.070224e-14	6.501385e-19	0	2.328887e+26	2.276476e+28	
0.0036	1600	0	0	5.005807e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.140997e+24	1.140997e+24	8.357353e+10	0	5.420034e+23	0.322046	9.416016e+20	2.08e+20	9.087266e-14	6.538102e-19	0	2.328887e+26	2.276476e+28	
0.00396	1600	0	0	5.00581e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.139805e+24	1.139805e+24	8.380055e+10	0	5.431953e+23	0.3227542	9.197268e+20	2.08e+20	9.078285e-14	6.518736e-19	0	2.328887e+26	2.276476e+28	
0.00432	1600	0	0	5.005814e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.13864e+24	1.13864e+24	8.354936e+10	0	5.443603e+23	0.3234464	8.988575e+20	2.08e+20	9.086497e-14	6.536443e-19	0	2.328887e+26	2.276476e+28	
0.00468	1600	0	0	5.005817e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.137501e+24	1.137501e+24	8.361699e+10	0	5.454994e+23	0.3241232	8.789365e+20	2.08e+20	9.077409e-14	6.51685e-19	0	2.328887e+26	2.276476e+28	
0.00504	1600	0	0	5.00582e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.136386e+24	1.136386e+24	8.33679e+10	0	5.466138e+23	0.3247854	8.5991e+20	2.08e+20	9.079858e-14	6.522126e-19	0	2.328887e+26	2.276476e+28	
0.0054	1600	0	0	5.005824e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.135295e+24	1.135295e+24	8.333286e+10	0	5.477047e+23	0.3254336	8.417278e+20	2.08e+20	9.070833e-14	6.502696e-19	0	2.328887e+26	2.276476e+28	
0.00576	1600	0	0	5.005827e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.134227e+24	1.134227e+24	8.308886e+10	0	5.48773e+23	0.3260683	8.243428e+20	2.08e+20	9.069562e-14	6.499963e-19	0	2.328887e+26	2.276476e+28	
0.00612	1600	0	0	5.00583e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.13318e+24	1.13318e+24	8.298889e+10	0	5.498198e+23	0.3266903	8.077109e+20	2.08e+20	9.060701e-14	6.480931e-19	0	2.328887e+26	2.276476e+28	
0.00648	1600	0	0	5.005834e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.132154e+24	1.132154e+24	8.275166e+10	0	5.50846e+23	0.3273001	7.917905e+20	2.08e+20	9.057066e-14	6.473133e-19	0	2.328887e+26	2.276476e+28	
0.00684	1600	0	0	5.005837e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.131148e+24	1.131148e+24	8.261171e+10	0	5.518524e+23	0.327898	7.765428e+20	2.08e+20	9.048428e-14	6.454629e-19	0	2.328887e+26	2.276476e+28	
0.0072	1600	0	0	5.00584e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.13016e+24	1.13016e+24	8.238207e+10	0	5.528398e+23	0.3284848	7.619313e+20	2.08e+20	9.043324e-14	6.443713e-19	0	2.328887e+26	2.276476e+28	
0.00756	1600	0	0	5.005843e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.129191e+24	1.129191e+24	8.22185e+10	0	5.538092e+23	0.3290607	7.479219e+20	2.08e+20	9.034937e-14	6.425802e-19	0	2.328887e+26	2.276476e+28	
0.00792	1600	0	0	5.005847e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.128239e+24	1.128239e+24	8.199674e+10	0	5.54761e+23	0.3296263	7.344822e+20	2.08e+20	9.028953e-14	6.413043e-19	0	2.328887e+26	2.276476e+28	
0.00828	1600	0	0	5.00585e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.127304e+24	1.127304e+24	8.182019e+10	0	5.556962e+23	0.3301819	7.215821e+20	2.08e+20	9.020828e-14	6.395746e-19	0	2.328887e+26	2.276476e+28	
0.00864	1600	0	0	5.005853e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.126385e+24	1.126385e+24	8.160627e+10	0	5.566153e+23	0.3307281	7.091932e+20	2.08e+20	9.014349e-14	6.381975e-19	0	2.328887e+26	2.276476e+28	
0.009	1600	0	0	5.005857e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.125481e+24	1.125481e+24	8.14236e+10	0	5.57519e+23	0.331265	6.972889e+20	2.08e+20	9.006486e-14	6.365289e-19	0	2.328887e+26	2.276476e+28	
0.00936	1600	0	0	5.00586e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.124592e+24	1.124592e+24	8.12173e+10	0	5.584079e+23	0.3317931	6.85844e+20	2.08e+20	8.999761e-14	6.351041e-19	0	2.328887e+26	2.276476e+28	
0.00972	1600	0	0	5.005863e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.123718e+24	1.123718e+24	8.103287e+10	0	5.592825e+23	0.3323128	6.748349e+20	2.08e+20	8.992154e-14	6.334949e-19	0	2.328887e+26	2.276476e+28	
0.01008	1600	0	0	5.005867e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.122857e+24	1.122857e+24	8.083384e+10	0	5.601433e+23	0.3328243	6.642394e+20	2.08e+20	8.985342e-14	6.320564e-19	0	2.328887e+26	2.276476e+28	
0.01044	1600	0	0	5.00587e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.122009e+24	1.122009e+24	8.065038e+10	0	5.609909e+23	0.333328	6.540367e+20	2.08e+20	8.97798e-14	6.305039e-19	0	2.328887e+26	2.276476e+28	
0.0108	1600	0	0	5.005873e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.121174e+24	1.121174e+24	8.045823e+10	0	5.618258e+23	0.333824	6.44207e+20	2.08e+20	8.971183e-14	6.29073e-19	0	2.328887e+26	2.276476e+28	
0.01116	1600	0	0	5.005877e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.120352e+24	1.120352e+24	8.027739e+10	0	5.626484e+23	0.3343128	6.347318e+20	2.08e+20	8.964052e-14	6.275742e-19	0	2.328887e+26	2.276476e+28	
0.01152	1600	0	0	5.00588e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.119541e+24	1.119541e+24	8.009171e+10	0	5.634592e+23	0.3347945	6.255937e+20	2.08e+20	8.957331e-14	6.261636e-19	0	2.328887e+26	2.276476e+28	
0.01188	1600	0	0	5.005883e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.118741e+24	1.118741e+24	7.991444e+10	0	5.642586e+23	0.3352695	6.167762e+20	2.08e+20	8.95042e-14	6.247153e-19	0	2.328887e+26	2.276476e+28	
0.01224	1600	0	0	5.005887e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.117953e+24	1.117953e+24	7.973483e+10	0	5.650469e+23	0.3357379	6.082638e+20	2.08e+20	8.943812e-14	6.233326e-19	0	2.328887e+26	2.276476e+28	
0.0126	1600	0	0	5.00589e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.117175e+24	1.117175e+24	7.956164e+10	0	5.658245e+23	0.3362	6.000418e+20	2.08e+20	8.937106e-14	6.219316e-19	0	2.328887e+26	2.276476e+28	
0.01296	1600	0	0	5.005893e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.116408e+24	1.116408e+24	7.938771e+10	0	5.665919e+23	0.3366559	5.920965e+20	2.08e+20	8.930631e-14	6.205808e-19	0	2.328887e+26	2.276476e+28	
0.01332	1600	0	0	5.005896e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.115651e+24	1.115651e+24	7.921882e+10	0	5.673493e+23	0.3371059	5.844148e+20	2.08e+20	8.924118e-14	6.192241e-19	0	2.328887e+26	2.276476e+28	
0.01368	1600	0	0	5.0059e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.114903e+24	1.114903e+24	7.90502e+10	0	5.680971e+23	0.3375502	5.769844e+20	2.08e+20	8.917785e-14	6.179068e-19	0	2.328887e+26	2.276476e+28	
