Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.010437e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081899e+24	1.081899e+24	7.167227e+10	0	6.011013e+23	0.3571606	0	2.08e+20	8.625109e-14	5.590437e-19	0	2.328887e+26	2.276476e+28	
0.00036	1600	0	0	5.01044e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081864e+24	1.081864e+24	7.164902e+10	0	6.011359e+23	0.3571812	2.670301e+19	2.08e+20	8.625109e-14	5.590437e-19	0	2.328887e+26	2.276476e+28	
0.00072	1600	0	0	5.010444e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081829e+24	1.081829e+24	7.164673e+10	0	6.011705e+23	0.3572017	2.668603e+19	2.08e+20	8.624177e-14	5.588624e-19	0	2.328887e+26	2.276476e+28	
0.00108	1600	0	0	5.010447e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081795e+24	1.081795e+24	7.162894e+10	0	6.012051e+23	0.3572223	2.666907e+19	2.08e+20	8.624085e-14	5.588445e-19	0	2.328887e+26	2.276476e+28	
0.00144	1600	0	0	5.01045e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.08176e+24	1.08176e+24	7.162513e+10	0	6.012396e+23	0.3572428	2.665213e+19	2.08e+20	8.623371e-14	5.587057e-19	0	2.328887e+26	2.276476e+28	
0.0018	1600	0	0	5.010453e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081726e+24	1.081726e+24	7.161097e+10	0	6.012742e+23	0.3572633	2.663521e+19	2.08e+20	8.623218e-14	5.58676e-19	0	2.328887e+26	2.276476e+28	
0.00216	1600	0	0	5.010457e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081691e+24	1.081691e+24	7.160614e+10	0	6.013087e+23	0.3572838	2.661831e+19	2.08e+20	8.62265e-14	5.585656e-19	0	2.328887e+26	2.276476e+28	
0.00252	1600	0	0	5.01046e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081657e+24	1.081657e+24	7.159442e+10	0	6.013431e+23	0.3573043	2.660144e+19	2.08e+20	8.622456e-14	5.585279e-19	0	2.328887e+26	2.276476e+28	
0.00288	1600	0	0	5.010463e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081622e+24	1.081622e+24	7.158892e+10	0	6.013776e+23	0.3573248	2.658458e+19	2.08e+20	8.621985e-14	5.584365e-19	0	2.328887e+26	2.276476e+28	
0.00324	1600	0	0	5.010467e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081588e+24	1.081588e+24	7.157882e+10	0	6.01412e+23	0.3573452	2.656774e+19	2.08e+20	8.621764e-14	5.583936e-19	0	2.328887e+26	2.276476e+28	
0.0036	1600	0	0	5.01047e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081554e+24	1.081554e+24	7.157287e+10	0	6.014464e+23	0.3573657	2.655092e+19	2.08e+20	8.621359e-14	5.583148e-19	0	2.328887e+26	2.276476e+28	
0.00396	1600	0	0	5.010473e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081519e+24	1.081519e+24	7.156386e+10	0	6.014808e+23	0.3573861	2.653412e+19	2.08e+20	8.62112e-14	5.582684e-19	0	2.328887e+26	2.276476e+28	
0.00432	1600	0	0	5.010477e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081485e+24	1.081485e+24	7.155761e+10	0	6.015152e+23	0.3574065	2.651735e+19	2.08e+20	8.620758e-14	5.581981e-19	0	2.328887e+26	2.276476e+28	
0.00468	1600	0	0	5.01048e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.08145e+24	1.08145e+24	7.154933e+10	0	6.015495e+23	0.3574269	2.650059e+19	2.08e+20	8.620508e-14	5.581494e-19	0	2.328887e+26	2.276476e+28	
0.00504	1600	0	0	5.010483e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081416e+24	1.081416e+24	7.154289e+10	0	6.015838e+23	0.3574473	2.648385e+19	2.08e+20	8.620175e-14	5.580848e-19	0	2.328887e+26	2.276476e+28	
0.0054	1600	0	0	5.010486e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081382e+24	1.081382e+24	7.15351e+10	0	6.016181e+23	0.3574677	2.646713e+19	2.08e+20	8.619916e-14	5.580346e-19	0	2.328887e+26	2.276476e+28	
0.00576	1600	0	0	5.01049e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081348e+24	1.081348e+24	7.152854e+10	0	6.016524e+23	0.3574881	2.645043e+19	2.08e+20	8.619603e-14	5.579738e-19	0	2.328887e+26	2.276476e+28	
0.00612	1600	0	0	5.010493e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081313e+24	1.081313e+24	7.152107e+10	0	6.016867e+23	0.3575084	2.643375e+19	2.08e+20	8.61934e-14	5.579226e-19	0	2.328887e+26	2.276476e+28	
0.00648	1600	0	0	5.010496e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081279e+24	1.081279e+24	7.151443e+10	0	6.017209e+23	0.3575288	2.64171e+19	2.08e+20	8.61904e-14	5.578643e-19	0	2.328887e+26	2.276476e+28	
0.00684	1600	0	0	5.0105e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081245e+24	1.081245e+24	7.150718e+10	0	6.017551e+23	0.3575491	2.640046e+19	2.08e+20	8.618773e-14	5.578125e-19	0	2.328887e+26	2.276476e+28	
0.0072	1600	0	0	5.010503e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081211e+24	1.081211e+24	7.150049e+10	0	6.017893e+23	0.3575694	2.638384e+19	2.08e+20	8.618482e-14	5.57756e-19	0	2.328887e+26	2.276476e+28	
0.00756	1600	0	0	5.010506e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.081176e+24	1.081176e+24	7.14934e+10	0	6.018235e+23	0.3575897	2.636724e+19	2.08e+20	8.618213e-14	5.577038e-19	0	2.328887e+26	2.276476e+28	
