[-4.578]	[-4.39488]	[-4.21176]	[-4.02864]	[-3.84552]	[-3.6624]	[-3.47928]	[-3.29616]	[-3.11304]	[-2.92992]	[-2.7468]	[-2.56368]	[-2.38056]	[-2.19744]	[-2.01432]	[-1.8312]	[-1.64808]	[-1.46496]	[-1.28184]	[-1.09872]	[-0.9156]	[-0.73248]	[-0.54936]	[-0.36624]	[-0.18312]	[0.]	[0.18312]	[0.36624]	[0.54936]	[0.73248]	[0.9156]	[1.09872]	[1.28184]	[1.46496]	[1.64808]	[1.8312]	[2.01432]	[2.19744]	[2.38056]	[2.56368]	[2.7468]	[2.92992]	[3.11304]	[3.29616]	[3.47928]	[3.6624]	[3.84552]	[4.02864]	[4.21176]	[4.39488]	[4.578]
[0.79187241]	[0.77722922]	[0.84554935]	[0.86960392]	[0.84608956]	[0.77095056]	[0.85573203]	[0.7562485]	[0.88047826]	[0.76912796]	[0.76760653]	[0.81427959]	[0.84799665]	[0.73134964]	[0.89873228]	[0.77187122]	[0.90573151]	[0.73774555]	[0.79166542]	[0.75871651]	[0.77705931]	[0.84421226]	[0.93218218]	[0.91770454]	[0.79774317]	[0.89582179]	[0.93205686]	[0.86371986]	[0.84211862]	[0.76428535]	[0.91358944]	[0.87332921]	[0.77533947]	[0.87203579]	[0.87484398]	[0.84125636]	[0.90311715]	[0.85140707]	[0.8452393]	[0.733553]	[0.80780818]	[0.7975527]	[0.90292611]	[0.78658413]	[0.86353839]	[0.89547357]	[0.83562288]	[0.80068756]	[0.74900466]	[0.79090884]	[0.93962447]	[0.79712939]	[0.77636616]	[0.70855437]	[0.94338628]	[0.93108479]	[0.83062137]	[0.81425922]	[0.8290346]	[0.84615248]	[0.81694923]	[0.78722476]	[0.83243903]	[0.85691948]	[0.82066294]	[0.79257508]	[0.83120701]	[0.80097891]	[0.88939888]	[0.87198534]	[0.90045153]	[0.9328654]	[0.93167624]	[0.89918812]	[0.7985563]	[0.94191103]	[-2.59304882]	[-0.64126101]	[-2.74653552]	[1.00991673]	[-2.40826133]	[1.03609815]	[1.88839489]	[-1.05829351]	[1.95701706]	[-2.40011352]	[-2.51847729]	[1.27054]	[0.17058825]	[-1.80198208]	[-1.03186266]	[-1.2297473]	[2.03207199]	[2.30686297]	[-1.85692303]	[1.97514361]	[-0.48924804]	[-2.84330732]	[2.77139992]	[2.77209243]	[-0.50327352]
[0.76494065]	[0.93500491]	[0.80793209]	[0.760404]	[0.77793719]	[0.86707813]	[0.88845989]	[0.82586592]	[0.93720881]	[0.79030119]	[0.86347212]	[0.81582213]	[0.89742889]	[0.83483111]	[0.73443213]	[0.87002155]	[0.78569068]	[0.77822703]	[0.86891585]	[0.8418521]	[0.81308872]	[0.82667192]	[0.84808028]	[0.84897448]	[0.8063656]	[0.79612359]	[0.82566044]	[0.76076017]	[0.84884952]	[0.91853656]	[0.78928142]	[0.79110952]	[0.84826386]	[0.90406326]	[0.87395687]	[0.86595026]	[0.87986348]	[0.91634499]	[0.79106224]	[0.76228193]	[0.93913844]	[0.85575067]	[0.76102685]	[0.90026323]	[0.83166285]	[0.78333421]	[0.83356391]	[0.77889178]	[0.91710182]	[0.76113146]	[0.88125273]	[0.74738086]	[0.80600797]	[0.86120087]	[0.77669221]	[0.89285781]	[0.83337527]	[0.81189453]	[0.90302064]	[0.79509198]	[0.84598106]	[0.87570681]	[0.8510026]	[0.79235336]	[0.85365918]	[0.81333002]	[0.8209225]	[0.90717336]	[0.78696727]	[0.75768818]	[0.82521868]	[0.82947257]	[0.85317222]	[0.92187647]	[0.81924938]	[0.92185609]	[-2.02344291]	[-0.5667449]	[0.28354744]	[0.40700507]	[2.25169999]	[-1.45725149]	[-0.70231097]	[-0.3822427]	[-1.44029492]	[2.17542895]	[-0.89014785]	[1.71587745]	[1.55368104]	[-1.3677875]	[-0.15373465]	[2.91394097]	[-2.07687739]	[2.19347687]	[-0.42863204]	[0.55178708]	[-2.94039461]	[-0.14538476]	[-0.81404432]	[0.26117989]	[-2.94433341]
[0.91402868]	[0.86066306]	[0.82974695]	[0.79013421]	[0.78519723]	[0.79797739]	[0.8388662]	[0.82162085]	[0.85501977]	[0.83898501]	[0.81347576]	[0.88335284]	[0.82294762]	[0.75084592]	[0.89622104]	[0.88745187]	[0.84850498]	[0.76815081]	[0.83793792]	[0.83199252]	[0.77081502]	[0.77820641]	[0.82495786]	[0.82478255]	[0.83745125]	[0.90755781]	[0.82675491]	[0.87643572]	[0.82770741]	[0.8330966]	[0.79791508]	[0.87709435]	[0.78282012]	[0.84216747]	[0.90139597]	[0.79864739]	[0.83304642]	[0.92281202]	[0.86792448]	[0.82476221]	[0.82561099]	[0.75910341]	[0.79217245]	[0.77699061]	[0.88329732]	[0.84420599]	[0.8562315]	[0.70322986]	[0.75962491]	[0.78300936]	[0.86025983]	[0.78642929]	[0.86412072]	[0.75839181]	[0.75387471]	[0.80362365]	[0.77941048]	[0.78287053]	[0.75970293]	[0.89555029]	[0.84749075]	[0.83039488]	[0.84472709]	[0.80788853]	[0.83084082]	[0.83081228]	[0.86250279]	[0.86344699]	[0.89160858]	[0.84053253]	[0.78621491]	[0.78771002]	[0.84006039]	[0.78276802]	[0.79592888]	[0.83192909]	[-2.60122329]	[2.58355067]	[-2.88014798]	[0.62533262]	[1.94766522]	[-2.53464152]	[2.57161804]	[2.50699225]	[-0.62097025]	[-0.31538267]	[-1.02064202]	[-2.30073255]	[1.03443212]	[-0.99732234]	[2.41841308]	[-1.93919006]	[1.28652777]	[1.44959019]	[-1.81684028]	[-1.77205361]	[1.18868957]	[-2.22706502]	[1.02399018]	[2.59763724]	[2.67165616]
[0.83300719]	[0.88235622]	[0.79261539]	[0.85288117]	[0.85706708]	[0.82437494]	[0.85655876]	[0.8324681]	[0.792505]	[0.81867546]	[0.77536143]	[0.81379243]	[0.84557743]	[0.83978833]	[0.77951105]	[0.83191357]	[0.83118151]	[0.79642539]	[0.88954499]	[0.75269247]	[0.82613465]	[0.77936825]	[0.8422282]	[0.89218782]	[0.83311508]	[0.78409196]	[0.8228267]	[0.83822533]	[0.80102481]	[0.75928951]	[0.7786415]	[0.85822568]	[0.7720097]	[0.86594857]	[0.81702607]	[0.87129572]	[0.85069211]	[0.77486668]	[0.81060582]	[0.83324723]	[0.80916145]	[0.83262221]	[0.82797357]	[0.79551134]	[0.82482413]	[0.90778659]	[0.85033643]	[0.8096191]	[0.84084537]	[0.85212736]	[0.88963097]	[0.78568572]	[0.87923141]	[0.81270698]	[0.83303063]	[0.88870791]	[0.84903952]	[0.81999646]	[0.76379234]	[0.80336362]	[0.82755693]	[0.79008746]	[0.89928658]	[0.8334529]	[0.74276663]	[0.84154595]	[0.77672519]	[0.82620726]	[0.7987254]	[0.77972494]	[0.83939724]	[0.741979]	[0.82437162]	[0.82127851]	[0.78114403]	[0.79166435]	[1.12859165]	[2.28810108]	[-0.23630422]	[-1.6035287]	[-1.64336785]	[-1.07992618]	[2.29189752]	[-1.55040631]	[-1.46667354]	[0.23636066]	[0.45276951]	[-0.77569882]	[1.89148255]	[-1.66555875]	[-2.95635471]	[0.2270857]	[-0.45068503]	[-2.39987434]	[0.40191459]	[0.4776971]	[1.74298367]	[-1.44691209]	[-1.20766411]	[1.7605176]	[2.33144586]
[0.87380422]	[0.80691095]	[0.78080505]	[0.76154719]	[0.86062382]	[0.89111702]	[0.81186934]	[0.88985648]	[0.84000332]	[0.83080949]	[0.81570517]	[0.84745578]	[0.78796235]	[0.80639274]	[0.77572258]	[0.83082722]	[0.76836288]	[0.83105886]	[0.83644435]	[0.79573788]	[0.8268441]	[0.84426515]	[0.77231611]	[0.78286655]	[0.82175063]	[0.85217119]	[0.82960445]	[0.81946249]	[0.8126045]	[0.83344782]	[0.81203591]	[0.8549271]	[0.819394]	[0.82253206]	[0.84514775]	[0.81853824]	[0.8436944]	[0.83553436]	[0.82441691]	[0.80140999]	[0.78699113]	[0.87662397]	[0.82942277]	[0.77890028]	[0.85362236]	[0.83128373]	[0.84036729]	[0.80672038]	[0.83691617]	[0.85008749]	[0.77991463]	[0.82563444]	[0.80395399]	[0.83932841]	[0.8251852]	[0.81351344]	[0.8728176]	[0.78156728]	[0.77624113]	[0.83046889]	[0.82419526]	[0.78658667]	[0.84691329]	[0.82624462]	[0.75949569]	[0.83275887]	[0.88760151]	[0.8240748]	[0.91548195]	[0.83468054]	[0.80253855]	[0.79241516]	[0.84612215]	[0.80450512]	[0.8397057]	[0.81667262]	[2.03625163]	[1.49492841]	[1.00763884]	[-0.96087732]	[0.60051249]	[-2.68659253]	[-0.37395851]	[0.3142597]	[0.6485165]	[-2.68609127]	[-1.91252785]	[-2.23266812]	[-1.39428027]	[1.50736186]	[-0.60098961]	[-2.90635649]	[-0.70197184]	[-2.81889244]	[1.26715046]	[-0.97627656]	[2.1986839]	[-0.12502772]	[2.10696512]	[0.11905495]	[-0.54562028]
[0.78888612]	[0.81880668]	[0.84994192]	[0.82283758]	[0.80134848]	[0.78464927]	[0.80535094]	[0.8323145]	[0.79159984]	[0.83247775]	[0.78869715]	[0.8488312]	[0.8470026]	[0.80912478]	[0.86370731]	[0.83986371]	[0.78378694]	[0.84500773]	[0.85893226]	[0.81640013]	[0.819789]	[0.8442151]	[0.84606197]	[0.81679323]	[0.82254704]	[0.83312561]	[0.82226314]	[0.81655549]	[0.77657236]	[0.78106998]	[0.84640391]	[0.78233542]	[0.82570976]	[0.83274004]	[0.85560048]	[0.82101804]	[0.8429001]	[0.83193568]	[0.81734736]	[0.82541493]	[0.81945792]	[0.82199906]	[0.8324189]	[0.85264769]	[0.83361503]	[0.84051799]	[0.78029186]	[0.82715698]	[0.82498464]	[0.85495042]	[0.78874155]	[0.80917359]	[0.8385199]	[0.8474757]	[0.80737698]	[0.82169187]	[0.84881217]	[0.80347339]	[0.82486452]	[0.83298898]	[0.8391864]	[0.78119299]	[0.85222655]	[0.8266097]	[0.82547832]	[0.85002338]	[0.76579356]	[0.83079631]	[0.83112678]	[0.8464605]	[0.83406428]	[0.87411911]	[0.85174742]	[0.85585394]	[0.78269373]	[0.84309953]	[1.57078059]	[-0.87777197]	[-0.01533057]	[2.2494526]	[1.07717746]	[2.62641051]	[1.07084409]	[-1.30232588]	[-0.2198786]	[2.49124353]	[2.73856126]	[-1.06106307]	[-1.13136213]	[-2.28934972]	[1.32077057]	[-1.46450376]	[-0.25256132]	[1.67999513]	[1.33091863]	[1.11189653]	[-2.96926432]	[-2.3925142]	[2.29630306]	[1.84286606]	[-2.39479747]
[0.8304272]	[0.82622774]	[0.81929564]	[0.81727797]	[0.8399202]	[0.77535051]	[0.80849976]	[0.85586848]	[0.83357041]	[0.84010673]	[0.82180281]	[0.85184396]	[0.836789]	[0.83323207]	[0.80590448]	[0.83447297]	[0.83809932]	[0.8223832]	[0.84648791]	[0.8491808]	[0.83071935]	[0.82072396]	[0.82306618]	[0.817312]	[0.84618635]	[0.83009605]	[0.83067029]	[0.82136582]	[0.78530021]	[0.80584997]	[0.82246596]	[0.81985881]	[0.83615621]	[0.83391753]	[0.82365267]	[0.78792791]	[0.81218798]	[0.81439953]	[0.82488371]	[0.84754303]	[0.81927863]	[0.84512961]	[0.8230921]	[0.81910649]	[0.83220473]	[0.83318763]	[0.82244917]	[0.82752212]	[0.83357008]	[0.84386869]	[0.78473467]	[0.80604654]	[0.80556731]	[0.82155615]	[0.83106375]	[0.82921734]	[0.83102992]	[0.86651806]	[0.82093156]	[0.8598368]	[0.83844353]	[0.83298923]	[0.81305236]	[0.84745354]	[0.83948238]	[0.85265849]	[0.83620462]	[0.79848482]	[0.81371111]	[0.82054166]	[0.82278065]	[0.82631127]	[0.80822747]	[0.82237118]	[0.81791445]	[0.82406947]	[2.99740533]	[0.34517624]	[0.20698408]	[1.39865537]	[1.49934444]	[-1.70463485]	[-2.86876958]	[2.87624247]	[0.41733378]	[-1.71034681]	[-1.23021743]	[-1.76071562]	[-2.81430073]	[-2.71083415]	[-2.53706666]	[-2.63593261]	[0.19893835]	[2.99720352]	[1.50641495]	[0.13475686]	[0.9758983]	[-1.55070204]	[-0.54747764]	[1.17623138]	[-0.76843945]
[0.83782642]	[0.85589752]	[0.84558016]	[0.82435309]	[0.82150175]	[0.83654524]	[0.82933613]	[0.82915547]	[0.82488207]	[0.83505638]	[0.82589101]	[0.83430629]	[0.82617949]	[0.8235814]	[0.82721614]	[0.8554452]	[0.82612136]	[0.82633366]	[0.81813882]	[0.81955633]	[0.82683604]	[0.83822779]	[0.8353163]	[0.84215183]	[0.82758499]	[0.83168086]	[0.82285938]	[0.83040159]	[0.82175999]	[0.85553781]	[0.83502985]	[0.83423889]	[0.81917359]	[0.84504915]	[0.83188824]	[0.83133085]	[0.82422343]	[0.84171011]	[0.82143267]	[0.8178555]	[0.8250722]	[0.82634502]	[0.82893324]	[0.8207988]	[0.82317286]	[0.84345446]	[0.82593473]	[0.83635686]	[0.8606943]	[0.8267889]	[0.8214408]	[0.8506983]	[0.82062406]	[0.83571041]	[0.84333013]	[0.82145654]	[0.83551851]	[0.83547105]	[0.83281718]	[0.8256801]	[0.81990899]	[0.82067309]	[0.81861105]	[0.81222091]	[0.82638787]	[0.84235345]	[0.82341237]	[0.81563184]	[0.81931297]	[0.837762]	[0.85390244]	[0.84721145]	[0.84857168]	[0.84056328]	[0.85261686]	[0.83771804]	[1.65180847]	[-1.95912385]	[-0.31406524]	[0.66752234]	[1.98024254]	[-2.40302074]	[2.37950715]	[-1.86835993]	[2.0617443]	[-1.04994388]	[-0.02805289]	[-1.40318142]	[-2.00420186]	[1.75132915]	[2.30357181]	[1.68129665]	[-1.33037707]	[2.22950049]	[2.14056727]	[-1.05054956]	[-2.20154716]	[1.68620841]	[-0.02988096]	[-1.36385385]	[2.42599331]
[0.82434081]	[0.81869052]	[0.8289062]	[0.82169417]	[0.82347232]	[0.82978425]	[0.82795916]	[0.81932699]	[0.82084253]	[0.84066773]	[0.82272888]	[0.81967035]	[0.8450654]	[0.82196171]	[0.84132497]	[0.83993768]	[0.82525703]	[0.82468581]	[0.83244809]	[0.85175152]	[0.82282548]	[0.82346877]	[0.83487495]	[0.81774684]	[0.82262231]	[0.83631666]	[0.81602124]	[0.82401588]	[0.82192351]	[0.83044341]	[0.81973884]	[0.8406516]	[0.82303047]	[0.82697477]	[0.81997519]	[0.86149753]	[0.82908786]	[0.8325746]	[0.83803879]	[0.81710689]	[0.84216457]	[0.83191185]	[0.83876734]	[0.81522028]	[0.84365779]	[0.830111]	[0.82466515]	[0.85484879]	[0.82289067]	[0.84068837]	[0.83826378]	[0.83079474]	[0.82579179]	[0.83328526]	[0.82644624]	[0.82808833]	[0.83708247]	[0.84029607]	[0.81785769]	[0.82318494]	[0.81799703]	[0.83532545]	[0.82774271]	[0.81707967]	[0.82455385]	[0.81710127]	[0.82991199]	[0.81791189]	[0.81664744]	[0.83243317]	[0.8344157]	[0.82753541]	[0.83661004]	[0.82768378]	[0.82424114]	[0.81927337]	[-0.67984946]	[-1.64721912]	[2.75576807]	[-1.62645614]	[0.5631866]	[-2.99429159]	[-2.62078862]	[0.39770943]	[-0.83469512]	[-0.49313349]	[2.80698037]	[1.21612221]	[-0.77943536]	[2.53544929]	[-1.2072654]	[0.31175721]	[1.54916774]	[-2.88845982]	[0.28317997]	[2.70851327]	[-0.43787715]	[0.53436003]	[-1.18271113]	[1.46509179]	[-2.62442648]
[0.83713265]	[0.82053426]	[0.82902332]	[0.82151636]	[0.82257934]	[0.81910793]	[0.8260888]	[0.82037768]	[0.83234458]	[0.8346237]	[0.82217289]	[0.84316836]	[0.82005721]	[0.82814337]	[0.82535972]	[0.82509833]	[0.82500247]	[0.84263196]	[0.82539446]	[0.82517979]	[0.82825761]	[0.8216041]	[0.82006982]	[0.81682149]	[0.82271342]	[0.83649056]	[0.8281379]	[0.82322829]	[0.82305122]	[0.8250548]	[0.82690259]	[0.82628495]	[0.84908791]	[0.83124049]	[0.83755484]	[0.82600713]	[0.83573428]	[0.82694518]	[0.81874104]	[0.82446319]	[0.8232406]	[0.81880227]	[0.82539577]	[0.83757409]	[0.82380883]	[0.8250087]	[0.82936745]	[0.82781315]	[0.81628122]	[0.82828229]	[0.8189426]	[0.82322107]	[0.82240574]	[0.82534553]	[0.82972741]	[0.81603462]	[0.82339154]	[0.8240389]	[0.81997808]	[0.81850369]	[0.82405205]	[0.82622077]	[0.83122008]	[0.82194814]	[0.82069622]	[0.8296589]	[0.82423232]	[0.82119218]	[0.82345749]	[0.83366719]	[0.82886115]	[0.82016196]	[0.82157349]	[0.82295551]	[0.82116969]	[0.82648981]	[-2.51229782]	[1.01368914]	[1.7392169]	[-1.94981507]	[2.43517876]	[-2.75898683]	[-2.03728826]	[-2.5203184]	[-1.49105258]	[1.88113365]	[-2.01088467]	[2.93319103]	[-1.4294614]	[-2.44763099]	[1.1091999]	[-2.34366067]	[2.21297562]	[2.02958135]	[-2.71735266]	[1.09142066]	[-2.3335894]	[-2.51333255]	[2.09792498]	[-0.91665012]	[2.22117506]
[0.82531378]	[0.8212244]	[0.82397951]	[0.83000664]	[0.82373213]	[0.82760595]	[0.82180848]	[0.82350984]	[0.82770637]	[0.81938522]	[0.82721841]	[0.83570284]	[0.82450917]	[0.82678982]	[0.82558646]	[0.82015157]	[0.83076234]	[0.82854839]	[0.82073237]	[0.81966757]	[0.82373235]	[0.82328348]	[0.82380347]	[0.82384045]	[0.82297569]	[0.8226057]	[0.8382077]	[0.82635635]	[0.82887083]	[0.8324747]	[0.82511161]	[0.82439712]	[0.81850023]	[0.82311794]	[0.82224352]	[0.82162309]	[0.8286813]	[0.8268532]	[0.82597001]	[0.82658906]	[0.8270544]	[0.82626463]	[0.82444144]	[0.82215692]	[0.82350606]	[0.8221003]	[0.82065275]	[0.82013326]	[0.82691874]	[0.83186296]	[0.82284071]	[0.82304154]	[0.83045307]	[0.82229133]	[0.82372046]	[0.82211348]	[0.82282057]	[0.82340107]	[0.83143893]	[0.83312059]	[0.82926561]	[0.82112109]	[0.82268695]	[0.82505393]	[0.825691]	[0.82113332]	[0.82720615]	[0.8235927]	[0.82789108]	[0.82506521]	[0.82732627]	[0.82548684]	[0.82441209]	[0.83586589]	[0.82179575]	[0.82035143]	[2.70392541]	[-2.88046501]	[-0.0357597]	[2.65297116]	[1.45190704]	[0.37461625]	[-1.09009308]	[-0.64444799]	[-1.24316867]	[1.41789007]	[-0.1350749]	[-0.25650949]	[-1.03412841]	[-1.17799254]	[-0.09101211]	[-0.65251288]	[2.55913277]	[-0.39572998]	[2.71866271]	[-1.78782516]	[0.05761436]	[-0.46955048]	[-0.68133089]	[-1.61934545]	[-0.68192187]
[0.82201304]	[0.82374328]	[0.8268297]	[0.82636583]	[0.82680801]	[0.82621365]	[0.82337976]	[0.82157242]	[0.82227672]	[0.82754889]	[0.82399816]	[0.81773588]	[0.82157104]	[0.82542554]	[0.82097708]	[0.8228002]	[0.82520246]	[0.82455679]	[0.82215386]	[0.83034559]	[0.82307739]	[0.82841774]	[0.82269278]	[0.82659498]	[0.82447631]	[0.82327428]	[0.82370918]	[0.82439253]	[0.82668925]	[0.82551345]	[0.82551112]	[0.82312618]	[0.8223101]	[0.82630091]	[0.82321908]	[0.82070285]	[0.83314352]	[0.82249771]	[0.82294222]	[0.82683081]	[0.82454353]	[0.82953908]	[0.82727184]	[0.82732048]	[0.82095353]	[0.82065495]	[0.82592342]	[0.821687]	[0.81823265]	[0.83061782]	[0.82561796]	[0.81690286]	[0.82119452]	[0.8286035]	[0.82678954]	[0.82707976]	[0.8219992]	[0.82388361]	[0.82525103]	[0.82800258]	[0.82504311]	[0.82111331]	[0.82524531]	[0.82217361]	[0.82415227]	[0.82734743]	[0.82494088]	[0.82301762]	[0.8226195]	[0.82691458]	[0.82489991]	[0.82343238]	[0.8246313]	[0.82509412]	[0.82133786]	[0.82778667]	[-2.00505022]	[-2.34463903]	[-1.86737365]	[1.77346899]	[2.91660888]	[-1.47958367]	[0.73776842]	[2.30761903]	[0.53724831]	[2.42047262]	[-2.53200527]	[2.33266139]	[-1.33016792]	[0.54294493]	[-2.54040144]	[-2.71802389]	[-1.52478668]	[2.46208337]	[0.93906068]	[1.78136746]	[0.9261823]	[-2.24287793]	[0.43944109]	[-2.108896]	[-0.77551299]
[0.82440663]	[0.8229504]	[0.82366025]	[0.82238129]	[0.82627728]	[0.82626881]	[0.82418934]	[0.82285454]	[0.82311356]	[0.82284376]	[0.82295458]	[0.82151241]	[0.82351143]	[0.82423018]	[0.82113408]	[0.821535]	[0.8246209]	[0.82299723]	[0.82332975]	[0.8201451]	[0.82107659]	[0.82547525]	[0.820022]	[0.82826819]	[0.8240533]	[0.82100272]	[0.82783625]	[0.82809292]	[0.82271049]	[0.82066466]	[0.82301214]	[0.82423379]	[0.82036443]	[0.82333421]	[0.825313]	[0.82507438]	[0.82680153]	[0.82385835]	[0.82286124]	[0.82347256]	[0.8237587]	[0.82653967]	[0.82283108]	[0.82293666]	[0.82772653]	[0.82294633]	[0.82449552]	[0.82234367]	[0.82786938]	[0.8232381]	[0.82351323]	[0.82502425]	[0.82737141]	[0.8219968]	[0.8200602]	[0.82755063]	[0.82262479]	[0.82246801]	[0.8210992]	[0.82314231]	[0.82536428]	[0.82316185]	[0.82378733]	[0.82435414]	[0.8224286]	[0.82473695]	[0.8205125]	[0.82593452]	[0.82481102]	[0.82549266]	[0.81955324]	[0.82194742]	[0.82426638]	[0.82346235]	[0.82636859]	[0.82349796]	[1.99504019]	[1.94608799]	[2.53388449]	[-0.47896444]	[-2.87246797]	[1.86014519]	[-0.43162424]	[-1.71495325]	[2.11297939]	[1.40881658]	[-1.66973137]	[2.74504345]	[-1.79209596]	[0.60325056]	[-2.60377557]	[0.05326797]	[2.61076993]	[1.57887654]	[-0.51041842]	[2.19788273]	[0.13470363]	[1.95548981]	[0.20335717]	[0.28210035]	[1.44724684]
[0.82500492]	[0.82277825]	[0.82179508]	[0.8253629]	[0.8276648]	[0.82229159]	[0.82650259]	[0.82529017]	[0.82372143]	[0.82558284]	[0.82264901]	[0.82532543]	[0.82461313]	[0.82258582]	[0.82386247]	[0.8227571]	[0.82056923]	[0.82371054]	[0.822662]	[0.82131053]	[0.82313966]	[0.82519713]	[0.82601792]	[0.8212779]	[0.8224529]	[0.82282555]	[0.82287062]	[0.82318553]	[0.82183374]	[0.81948036]	[0.82189319]	[0.82376797]	[0.82397186]	[0.82464833]	[0.82457011]	[0.82195577]	[0.82337858]	[0.8215353]	[0.82474324]	[0.82369459]	[0.82463507]	[0.82638499]	[0.82194447]	[0.82202309]	[0.82579246]	[0.82181828]	[0.82624161]	[0.82498598]	[0.8222205]	[0.82231656]	[0.82298111]	[0.82585156]	[0.82335552]	[0.82231422]	[0.82292906]	[0.82389653]	[0.82373652]	[0.82322736]	[0.82232627]	[0.82358265]	[0.8217906]	[0.82536222]	[0.82085884]	[0.82702317]	[0.82279095]	[0.82411032]	[0.82099436]	[0.82445538]	[0.82476762]	[0.82379284]	[0.8229935]	[0.82332135]	[0.82436574]	[0.8243305]	[0.82436708]	[0.82527122]	[-1.26313634]	[-1.10163472]	[-2.29003932]	[-1.93607647]	[-2.2155994]	[-0.86421746]	[0.4372407]	[1.29065398]	[-0.90303285]	[-0.29245224]	[-0.04758568]	[1.09478252]	[1.00351178]	[-2.03412246]	[-1.14203642]	[-1.00801004]	[-2.78875586]	[-1.53165945]	[2.35747104]	[0.97494834]	[-2.08166423]	[0.91364244]	[1.66578188]	[-2.03902754]	[-1.55252957]
[0.82396716]	[0.82285335]	[0.82249367]	[0.82170292]	[0.82257073]	[0.82414975]	[0.82285901]	[0.82343202]	[0.82255323]	[0.82291558]	[0.82302832]	[0.822554]	[0.82518275]	[0.82546607]	[0.8217768]	[0.8226845]	[0.82284771]	[0.82407491]	[0.82251621]	[0.82491531]	[0.82252987]	[0.82278094]	[0.82368112]	[0.82395013]	[0.82388164]	[0.82364465]	[0.82231679]	[0.82345571]	[0.82305715]	[0.826057]	[0.8264138]	[0.82283627]	[0.82293734]	[0.82217633]	[0.8223591]	[0.82352463]	[0.82386945]	[0.82281253]	[0.82174312]	[0.82188952]	[0.82297882]	[0.82234446]	[0.82466114]	[0.8239399]	[0.82284969]	[0.82444065]	[0.82351243]	[0.82436337]	[0.82006151]	[0.82352688]	[0.82318399]	[0.82263168]	[0.82281427]	[0.8230592]	[0.8239188]	[0.82396842]	[0.82533664]	[0.82417399]	[0.82344174]	[0.82656316]	[0.82426908]	[0.82376575]	[0.82319961]	[0.82200982]	[0.82448555]	[0.82401567]	[0.82265029]	[0.82310009]	[0.82153583]	[0.82312814]	[0.82371378]	[0.82304919]	[0.82272406]	[0.8238736]	[0.82397819]	[0.82302143]	[1.88247335]	[1.88335789]	[-2.90158536]	[-0.39719075]	[-1.86997854]	[2.21669824]	[2.88733901]	[2.63516358]	[0.52706504]	[-2.45305972]	[2.74250965]	[-2.6178021]	[-2.36032725]	[2.8288944]	[0.25483317]	[0.05799227]	[2.76509721]	[-1.45293165]	[2.54222731]	[0.10186878]	[-2.59367497]	[-0.60828704]	[-2.64310707]	[2.26216677]	[2.18276269]
[0.82380389]	[0.82333437]	[0.82276395]	[0.82268794]	[0.82293603]	[0.82408042]	[0.82429823]	[0.82289879]	[0.82465531]	[0.822708]	[0.82449673]	[0.82344334]	[0.82294464]	[0.82215985]	[0.82335744]	[0.82355422]	[0.82221904]	[0.82373187]	[0.82334545]	[0.82362126]	[0.82204785]	[0.82295811]	[0.82314645]	[0.82214419]	[0.82375838]	[0.82434741]	[0.82189815]	[0.82307095]	[0.82240153]	[0.82162373]	[0.82370016]	[0.82321557]	[0.82522406]	[0.82288861]	[0.82375138]	[0.82286711]	[0.82262812]	[0.82326267]	[0.82331541]	[0.82416687]	[0.82294704]	[0.82291333]	[0.82319323]	[0.82286573]	[0.8231015]	[0.82353822]	[0.82304458]	[0.82375]	[0.82443843]	[0.82390042]	[0.82280687]	[0.82314546]	[0.8241755]	[0.82325812]	[0.82332185]	[0.8245234]	[0.82342617]	[0.82432109]	[0.82318892]	[0.82287093]	[0.82355435]	[0.82294055]	[0.82269916]	[0.82251714]	[0.82271273]	[0.82363054]	[0.82494882]	[0.8235648]	[0.82296344]	[0.82398999]	[0.82398006]	[0.8220104]	[0.82397578]	[0.82387854]	[0.82263074]	[0.8219386]	[-1.15203103]	[-1.15959523]	[1.992451]	[-1.5793789]	[-2.81134577]	[2.07197886]	[1.41728351]	[-2.14233781]	[-0.94152414]	[1.65747851]	[-0.01963838]	[-0.72783716]	[-0.87658614]	[1.39539636]	[-1.2113228]	[1.96645462]	[-0.12545159]	[-2.74525809]	[0.41634177]	[-1.37024542]	[-1.99717587]	[0.71061087]	[-1.3030112]	[-1.07773749]	[1.11723554]
