helium diffusivity pre exponential	0	helium diffusivity activation energy	0	henry constant pre exponential	0	henry constant activation energy	0
0.05	19.9	0.835	1.2	0.0627	16.09	0.431	1.55
0	0	0	0	0	0	0	0
0.3395975830951289	1.03981322311137	1.1216712532235866	1.133972551107043	4.227522882760964	4.778248231796797	0.431	0.4592595968668586
0.6974091377231513	0.7227001307436409	1.123972551107043	1.133972551107043	4.754201800254304	4.77260129558392	0.44925959686685857	0.4592595968668586
0.7127001307436409	0.7227001307436409	1.123972551107043	1.133972551107043	4.76260129558392	4.77260129558392	0.44925959686685857	0.4592595968668586
0.8401463227983023	0.8665784871459635	1.0780038198596478	1.0908207553507558	4.2882070790890126	4.458096160888319	0.5287805751237177	0.5387805751237177
0.7790235170320184	0.8111034413373671	0.835	0.845	4.316872859766585	4.468410918605514	0.45558163527395223	0.4674260371698271
0.8259024944212161	0.8566100745652383	0.900903837583245	0.9139541416276242	3.5652240708217886	3.7334255904271694	0.6130620392903698	0.6230620392903699
0.8259024944212161	0.8359024944212161	0.900903837583245	0.910903837583245	3.642965642313096	3.6529656423130956	0.6130620392903698	0.6230620392903699
0.8665180750816449	0.898102742337974	1.1756885141286388	1.189599471692003	4.860858888827785	4.99708655012947	0.8639299880511621	0.8829931972405788
0.9233795998640735	1.0321014702595812	1.0520243394603879	1.0657548845545122	2.4187789664583796	2.982861137839718	0.4472437080758811	0.48747177621338456
1.0221014702595812	1.0321014702595812	1.0520243394603879	1.0620243394603879	2.972619809726066	2.982861137839718	0.4591329575923255	0.4691329575923255
