time	helium diffusivity pre exponential	helium diffusivity activation energy	henry constant pre exponential	henry constant activation energy	error
0	1.0	1.0	1.0	1.0	0
0.2	11.622285849949856	1.0060281956786667	11.173539635344467	1.37733130383948	-101.0
0.3	11.486967790384043	1.002149560295396	11.127616155890024	1.3833149593287803	-101.0
0.4	1.4922208751054367	0.9104025736304415	5.764326725044088	0.7152027733325301	-201.99999978453081
0.45	1.434123774227093	0.9116794053580186	5.743107087212481	0.7061626449597825	-100.99999628303743
0.5	1.4341234834437784	0.912356268843226	5.750999613399294	0.7075107675080888	-100.9975542701067
0.55	1.4341234834437784	0.9154025736304415	5.750999613399294	0.7011626449597825	-100.99784956655208
0.6	1.4341234834437784	0.9054025736304415	5.750999613399294	0.7011626449597825	-100.99811668171267
0.65	1.4341234834437784	0.9154025736304415	5.750999613399294	0.7011626449597825	-100.99512380016711
0.7	1.4341234834437784	0.9154025736304415	5.750999613399294	0.7011626449597825	-100.98087971107105
0.75	0.7680661481651891	1.1485514115640452	6.846101223620879	0.6967446928455128	-42.51460375370599
0.8	1.1910723638857708	1.0281526204412663	8.323885216816297	0.431	-8.70405391850936
