time	helium diffusivity pre exponential	helium diffusivity activation energy	error
0	1.0	1.0	0
0.37	0.7085805237973442	0.8975027201305281	-0.8446819719281433
0.45	0.7232786194311615	1.0932466145818402	-2.101863853990639
0.55	0.7680499102023527	1.1040079775059741	-1.6133969369303789
0.65	15.40049181203369	1.0492215050624187	-9.530375409357319
0.744	0.8065322149353202	0.9479263001543533	-0.6401471830302492
1.5	0.8949542402909867	0.9514955351729668	-1.125000397897736
2.5	0.9214254724107791	1.1202305008515892	-0.9075646538136389
3.65	0.9395596193616637	0.934557903426522	-0.8139987858176908
3.867	0.9399015844528215	1.0825040889427078	-0.8124399619776635
